Specimen properties : Specimen label,"orgn_80_NA_2_wblk_3ptbnd_run4"
Maximum Load : Flexure extension at Maximum Load,"1.60063",in
Maximum Load : Maximum Load,"133.21203",lbf

Time,Extension,Load
(s),(in),(lbf)
"38.30000","0.88254","20.21074"
"38.40000","0.88267","19.67654"
"38.50000","0.88280","19.41956"
"38.60000","0.88292","20.16058"
"38.70000","0.88306","19.79006"
"38.80000","0.88318","19.85871"
"38.90000","0.88330","20.19666"
"39.00000","0.88344","19.77071"
"39.10000","0.88356","19.87455"
"39.20000","0.88370","19.93880"
"39.30000","0.88384","20.26619"
"39.40000","0.88396","20.02769"
"39.50000","0.88410","19.83583"
"39.60000","0.88423","20.04881"
"39.70000","0.88437","20.18434"
"39.80000","0.88450","20.23626"
"39.90000","0.88464","20.21514"
"40.00000","0.88476","20.19930"
"40.10000","0.88490","20.10073"
"40.20000","0.88503","19.52164"
"40.30000","0.88517","20.04441"
"40.40000","0.88529","20.66662"
"40.50000","0.88542","20.23362"
"40.60000","0.88554","20.44396"
"40.70000","0.88567","20.41316"
"40.80000","0.88580","20.13505"
"40.90000","0.88594","20.14473"
"41.00000","0.88607","20.53021"
"41.10000","0.88621","20.11657"
"41.20000","0.88633","20.38236"
"41.30000","0.88648","20.32779"
"41.40000","0.88660","20.26707"
"41.50000","0.88672","20.19666"
"41.60000","0.88687","20.60061"
"41.70000","0.88700","20.00568"
"41.80000","0.88713","20.41844"
"41.90000","0.88726","20.54693"
"42.00000","0.88739","20.59885"
"42.10000","0.88751","20.28114"
"42.20000","0.88764","20.40524"
"42.30000","0.88778","20.49236"
"42.40000","0.88789","20.31195"
"42.50000","0.88803","20.31811"
"42.60000","0.88816","20.15530"
"42.70000","0.88829","20.43076"
"42.80000","0.88843","20.19314"
"42.90000","0.88855","20.67894"
"43.00000","0.88870","20.67014"
"43.10000","0.88883","20.08665"
"43.20000","0.88897","20.04881"
"43.30000","0.88910","20.68422"
"43.40000","0.88924","20.40084"
"43.50000","0.88936","20.67366"
"43.60000","0.88949","20.94560"
"43.70000","0.88962","20.42636"
"43.80000","0.88974","20.65870"
"43.90000","0.88988","20.53021"
"44.00000","0.89000","20.64550"
"44.10000","0.89013","20.70446"
"44.20000","0.89027","20.97552"
"44.30000","0.89039","20.63758"
"44.40000","0.89053","21.01249"
"44.50000","0.89066","20.62525"
"44.60000","0.89080","20.85584"
"44.70000","0.89093","20.50557"
"44.80000","0.89106","20.74934"
"44.90000","0.89120","20.99665"
"45.00000","0.89132","20.80743"
"45.10000","0.89147","20.84615"
"45.20000","0.89158","20.83823"
"45.30000","0.89172","20.79951"
"45.40000","0.89185","20.67014"
"45.50000","0.89197","20.73086"
"45.60000","0.89211","20.80215"
"45.70000","0.89223","21.02481"
"45.80000","0.89237","20.99401"
"45.90000","0.89249","20.95264"
"46.00000","0.89264","20.84527"
"46.10000","0.89276","21.06617"
"46.20000","0.89289","20.67366"
"46.30000","0.89303","20.92800"
"46.40000","0.89316","20.95528"
"46.50000","0.89330","20.37356"
"46.60000","0.89342","21.08729"
"46.70000","0.89355","21.13746"
"46.80000","0.89369","21.50621"
"46.90000","0.89381","20.69830"
"47.00000","0.89395","20.98873"
"47.10000","0.89407","21.47541"
"47.20000","0.89419","20.98256"
"47.30000","0.89432","20.77575"
"47.40000","0.89446","20.84791"
"47.50000","0.89459","21.41908"
"47.60000","0.89472","20.99577"
"47.70000","0.89487","20.98961"
"47.80000","0.89499","21.34780"
"47.90000","0.89513","21.36275"
"48.00000","0.89527","20.99665"
"48.10000","0.89539","21.45956"
"48.20000","0.89553","20.83999"
"48.30000","0.89567","20.96320"
"48.40000","0.89580","21.13746"
"48.50000","0.89592","21.52293"
"48.60000","0.89606","21.29411"
"48.70000","0.89618","21.13218"
"48.80000","0.89631","21.22986"
"48.90000","0.89644","21.43932"
"49.00000","0.89656","21.24482"
"49.10000","0.89670","21.19642"
"49.20000","0.89683","21.38652"
"49.30000","0.89695","21.44372"
"49.40000","0.89710","21.61534"
"49.50000","0.89722","21.42436"
"49.60000","0.89736","21.68134"
