Specimen properties : Specimen label,"orgn_80_NA_2_wblk_3ptbnd_run1"
Maximum Load : Flexure extension at Maximum Load,"1.50294",in
Maximum Load : Maximum Load,"131.18347",lbf

Time,Extension,Load
(s),(in),(lbf)
"33.00000","0.76278","18.41627"
"33.10000","0.76292","18.55092"
"33.20000","0.76304","18.61869"
"33.30000","0.76317","18.55180"
"33.40000","0.76331","18.28690"
"33.50000","0.76344","18.75774"
"33.60000","0.76358","18.66974"
"33.70000","0.76371","18.57469"
"33.80000","0.76384","18.34059"
"33.90000","0.76398","18.39955"
"34.00000","0.76410","18.68469"
"34.10000","0.76424","19.08073"
"34.20000","0.76439","18.45852"
"34.30000","0.76452","18.80263"
"34.40000","0.76463","18.62749"
"34.50000","0.76477","18.55092"
"34.60000","0.76489","18.82639"
"34.70000","0.76501","18.75158"
"34.80000","0.76515","18.85543"
"34.90000","0.76528","18.72870"
"35.00000","0.76541","19.19162"
"35.10000","0.76554","18.60197"
"35.20000","0.76568","18.83695"
"35.30000","0.76580","18.46028"
"35.40000","0.76593","18.86071"
"35.50000","0.76607","18.48140"
"35.60000","0.76620","18.86071"
"35.70000","0.76635","18.55884"
"35.80000","0.76647","19.28051"
"35.90000","0.76661","18.37139"
"36.00000","0.76673","18.82463"
"36.10000","0.76686","18.81935"
"36.20000","0.76700","18.75246"
"36.30000","0.76713","18.98128"
"36.40000","0.76726","18.78854"
"36.50000","0.76738","18.63365"
"36.60000","0.76751","18.83255"
"36.70000","0.76764","19.02792"
"36.80000","0.76777","19.30163"
"36.90000","0.76790","18.91703"
"37.00000","0.76803","19.07985"
"37.10000","0.76817","18.79823"
"37.20000","0.76830","18.94960"
"37.30000","0.76843","18.75862"
"37.40000","0.76857","19.02000"
"37.50000","0.76870","19.40019"
"37.60000","0.76883","19.04200"
"37.70000","0.76897","19.07193"
"37.80000","0.76910","19.18810"
"37.90000","0.76921","19.07193"
"38.00000","0.76934","18.87391"
"38.10000","0.76948","19.09129"
"38.20000","0.76959","19.23474"
"38.30000","0.76974","19.06049"
"38.40000","0.76986","19.43276"
"38.50000","0.76999","18.91703"
"38.60000","0.77013","19.46796"
"38.70000","0.77025","19.06929"
"38.80000","0.77039","19.08249"
"38.90000","0.77053","19.37379"
"39.00000","0.77067","19.43540"
"39.10000","0.77080","19.40371"
"39.20000","0.77094","18.99624"
"39.30000","0.77106","18.86863"
"39.40000","0.77119","19.65981"
"39.50000","0.77133","19.31042"
"39.60000","0.77145","19.55245"
"39.70000","0.77159","19.13265"
"39.80000","0.77171","19.26202"
"39.90000","0.77183","19.37379"
"40.00000","0.77198","19.29371"
"40.10000","0.77210","19.51108"
"40.20000","0.77223","19.76542"
"40.30000","0.77237","19.13881"
"40.40000","0.77251","19.48028"
"40.50000","0.77263","19.52780"
"40.60000","0.77278","19.86839"
"40.70000","0.77290","19.60525"
"40.80000","0.77303","19.78567"
"40.90000","0.77317","19.68622"
"41.00000","0.77329","19.63781"
"41.10000","0.77343","19.73110"
"41.20000","0.77356","19.48468"
"41.30000","0.77368","19.54365"
"41.40000","0.77382","19.79711"
"41.50000","0.77395","19.97752"
"41.60000","0.77407","19.66510"
"41.70000","0.77420","19.83055"
"41.80000","0.77433","19.59205"
"41.90000","0.77447","19.58765"
"42.00000","0.77460","19.85607"
"42.10000","0.77474","19.64749"
"42.20000","0.77486","20.00040"
"42.30000","0.77500","19.91328"
"42.40000","0.77514","19.75927"
"42.50000","0.77527","19.57621"
"42.60000","0.77540","19.81735"
"42.70000","0.77552","19.63165"
"42.80000","0.77566","19.88511"
"42.90000","0.77579","19.63253"
"43.00000","0.77592","19.93616"
"43.10000","0.77603","20.10161"
"43.20000","0.77617","19.68622"
"43.30000","0.77630","19.68358"
"43.40000","0.77643","19.82263"
"43.50000","0.77657","19.77247"
"43.60000","0.77669","19.64309"
"43.70000","0.77682","20.09457"
"43.80000","0.77696","19.74430"
"43.90000","0.77709","19.94936"
"44.00000","0.77723","20.00656"
"44.10000","0.77736","19.91680"
"44.20000","0.77750","19.70910"
"44.30000","0.77763","19.81823"
"44.40000","0.77777","19.88775"
"44.50000","0.77788","20.08137"
"44.60000","0.77801","19.62989"
"44.70000","0.77815","20.01624"
"44.80000","0.77827","19.96080"
"44.90000","0.77841","20.09545"
"45.00000","0.77853","19.90008"
"45.10000","0.77865","20.23010"
"45.20000","0.77879","20.37708"
"45.30000","0.77892","20.31899"
"45.40000","0.77906","20.15618"
"45.50000","0.77919","20.19842"
"45.60000","0.77933","19.98720"
"45.70000","0.77947","19.77159"
"45.80000","0.77961","20.63053"
"45.90000","0.77973","20.14121"
"46.00000","0.77985","20.06377"
"46.10000","0.77999","20.23186"
"46.20000","0.78012","20.63318"
"46.30000","0.78025","20.34891"
"46.40000","0.78038","20.08313"
"46.50000","0.78050","20.22482"
"46.60000","0.78063","20.63053"
"46.70000","0.78077","19.94584"
"46.80000","0.78090","20.26707"
"46.90000","0.78102","20.40788"
"47.00000","0.78117","20.50645"
"47.10000","0.78129","20.38148"
"47.20000","0.78142","20.11217"
"47.30000","0.78156","20.63141"
"47.40000","0.78169","20.64374"
"47.50000","0.78183","20.12361"
"47.60000","0.78196","20.72294"
"47.70000","0.78209","20.34099"
"47.80000","0.78222","20.51965"
"47.90000","0.78234","20.49060"
"48.00000","0.78248","20.58565"
"48.10000","0.78261","20.51525"
"48.20000","0.78274","20.22130"
"48.30000","0.78286","20.46244"
"48.40000","0.78299","20.63318"
"48.50000","0.78313","20.44836"
"48.60000","0.78325","20.55837"
"48.70000","0.78339","20.76166"
"48.80000","0.78352","20.67894"
"48.90000","0.78366","20.62525"
"49.00000","0.78380","20.65518"
"49.10000","0.78392","20.79071"
"49.20000","0.78406","20.65430"
"49.30000","0.78419","20.27763"
"49.40000","0.78432","20.50293"
"49.50000","0.78445","20.93240"
"49.60000","0.78458","20.61821"
"49.70000","0.78470","21.02217"
"49.80000","0.78483","21.01689"
"49.90000","0.78497","20.89368"
"50.00000","0.78509","20.68422"
"50.10000","0.78523","21.07057"
"50.20000","0.78535","20.61205"
"50.30000","0.78548","20.36915"
"50.40000","0.78562","21.06001"
"50.50000","0.78575","21.00457"
"50.60000","0.78589","20.91480"
"50.70000","0.78602","20.67278"
"50.80000","0.78616","21.19994"
"50.90000","0.78628","21.12514"
"51.00000","0.78643","21.09873"
"51.10000","0.78655","20.75462"
"51.20000","0.78667","21.02921"
"51.30000","0.78681","21.11722"
"51.40000","0.78693","21.02833"
"51.50000","0.78705","21.11722"
"51.60000","0.78719","21.11281"
"51.70000","0.78731","20.44308"
"51.80000","0.78744","20.86199"
"51.90000","0.78758","20.91920"
"52.00000","0.78772","20.61909"
"52.10000","0.78784","21.07761"
"52.20000","0.78798","21.34868"
"52.30000","0.78811","21.39708"
"52.40000","0.78824","21.17266"
"52.50000","0.78838","21.29763"
"52.60000","0.78850","21.43932"
"52.70000","0.78864","21.27651"
"52.80000","0.78877","21.43404"
"52.90000","0.78890","21.19466"
"53.00000","0.78903","21.11810"
"53.10000","0.78915","21.30467"
"53.20000","0.78927","20.76695"
"53.30000","0.78942","21.05209"
"53.40000","0.78956","21.44196"
"53.50000","0.78968","21.26155"
"53.60000","0.78981","21.08465"
"53.70000","0.78995","21.72094"
"53.80000","0.79008","21.15506"
"53.90000","0.79022","21.47365"
"54.00000","0.79035","21.07585"
"54.10000","0.79049","21.43932"
"54.20000","0.79062","21.36363"
"54.30000","0.79076","21.66726"
"54.40000","0.79088","21.32931"
"54.50000","0.79101","21.53965"
"54.60000","0.79114","21.62678"
"54.70000","0.79126","21.72182"
"54.80000","0.79139","21.91896"
"54.90000","0.79152","21.67078"
"55.00000","0.79164","21.86088"
"55.10000","0.79179","21.51413"
"55.20000","0.79191","21.15682"
"55.30000","0.79205","21.80103"
"55.40000","0.79218","21.79223"
"55.50000","0.79231","21.64350"
"55.60000","0.79245","21.63646"
"55.70000","0.79259","21.48861"
"55.80000","0.79272","21.24659"
"55.90000","0.79285","21.68838"
"56.00000","0.79298","21.70510"
"56.10000","0.79311","21.69278"
"56.20000","0.79325","22.03249"
"56.30000","0.79338","21.58365"
"56.40000","0.79349","21.59509"
"56.50000","0.79363","21.99025"
"56.60000","0.79376","21.62766"
"56.70000","0.79388","21.86440"
"56.80000","0.79402","21.63030"
"56.90000","0.79415","21.83711"
"57.00000","0.79428","22.02193"
"57.10000","0.79442","21.49037"
"57.20000","0.79455","21.34692"
"57.30000","0.79468","21.63118"
"57.40000","0.79482","21.74559"
"57.50000","0.79495","22.11258"
"57.60000","0.79508","21.78519"
"57.70000","0.79522","21.63382"
"57.80000","0.79534","22.19970"
"57.90000","0.79547","22.01401"
"58.00000","0.79560","22.02281"
"58.10000","0.79572","21.73239"
"58.20000","0.79585","22.02193"
"58.30000","0.79598","22.03777"
"58.40000","0.79612","21.84239"
"58.50000","0.79624","22.16626"
"58.60000","0.79639","22.02545"
"58.70000","0.79651","21.94184"
"58.80000","0.79663","21.57925"
"58.90000","0.79678","22.20498"
"59.00000","0.79691","22.23315"
"59.10000","0.79706","22.14778"
"59.20000","0.79718","22.08442"
"59.30000","0.79731","22.14426"
"59.40000","0.79744","22.20850"
"59.50000","0.79758","22.17682"
"59.60000","0.79770","22.01929"
"59.70000","0.79783","22.30531"
"59.80000","0.79796","21.94360"
"59.90000","0.79809","22.25779"
"60.00000","0.79823","22.39420"
"60.10000","0.79835","22.43204"
"60.20000","0.79847","22.27187"
"60.30000","0.79861","22.37660"
"60.40000","0.79874","22.28947"
"60.50000","0.79888","22.14514"
"60.60000","0.79902","22.17506"
"60.70000","0.79915","22.52269"
"60.80000","0.79927","22.67582"
"60.90000","0.79941","22.44612"
"61.00000","0.79954","22.71983"
"61.10000","0.79967","22.48837"
"61.20000","0.79981","22.15306"
"61.30000","0.79993","22.36956"
"61.40000","0.80007","22.45492"
"61.50000","0.80019","22.48485"
"61.60000","0.80031","22.24107"
"61.70000","0.80044","22.56670"
"61.80000","0.80058","22.64854"
"61.90000","0.80072","22.66966"
"62.00000","0.80085","22.65206"
"62.10000","0.80098","22.57286"
"62.20000","0.80111","22.33435"
"62.30000","0.80124","22.92224"
"62.40000","0.80138","22.45141"
"62.50000","0.80151","22.64238"
"62.60000","0.80165","22.47957"
"62.70000","0.80177","22.36780"
"62.80000","0.80190","22.23491"
"62.90000","0.80204","22.73655"
"63.00000","0.80216","22.93720"
"63.10000","0.80229","22.60278"
"63.20000","0.80242","22.77791"
"63.30000","0.80254","22.52709"
"63.40000","0.80267","22.40388"
"63.50000","0.80281","22.68814"
"63.60000","0.80294","22.86064"
"63.70000","0.80307","22.77439"
"63.80000","0.80322","22.73831"
"63.90000","0.80334","22.99177"
"64.00000","0.80349","22.47429"
"64.10000","0.80362","22.87912"
"64.20000","0.80374","22.91080"
"64.30000","0.80388","22.77439"
"64.40000","0.80401","22.69695"
"64.50000","0.80413","22.52445"
"64.60000","0.80425","23.01553"
"64.70000","0.80439","22.65470"
"64.80000","0.80452","22.85448"
"64.90000","0.80464","22.83952"
"65.00000","0.80478","23.11146"
"65.10000","0.80490","23.24259"
"65.20000","0.80503","22.92840"
"65.30000","0.80518","22.84568"
"65.40000","0.80530","23.15898"
"65.50000","0.80544","23.24523"
"65.60000","0.80557","23.10618"
"65.70000","0.80571","23.04282"
"65.80000","0.80584","22.97417"
"65.90000","0.80596","22.76999"
"66.00000","0.80609","23.16778"
"66.10000","0.80623","23.07538"
"66.20000","0.80636","23.29803"
"66.30000","0.80648","22.64150"
"66.40000","0.80662","23.12906"
"66.50000","0.80674","22.59750"
"66.60000","0.80686","23.28131"
"66.70000","0.80701","23.20739"
"66.80000","0.80713","23.07009"
"66.90000","0.80727","23.46349"
"67.00000","0.80740","23.31036"
"67.10000","0.80754","23.27339"
"67.20000","0.80767","23.48725"
"67.30000","0.80780","23.50045"
"67.40000","0.80793","23.57878"
"67.50000","0.80807","23.35876"
"67.60000","0.80821","23.49605"
"67.70000","0.80834","23.37548"
"67.80000","0.80847","23.09562"
"67.90000","0.80859","23.16514"
"68.00000","0.80871","23.34556"
"68.10000","0.80885","23.45381"
"68.20000","0.80897","23.32972"
"68.30000","0.80909","23.54710"
"68.40000","0.80923","23.62454"
"68.50000","0.80937","23.33236"
"68.60000","0.80950","23.34204"
"68.70000","0.80964","23.54885"
"68.80000","0.80976","23.42564"
"68.90000","0.80990","23.76183"
"69.00000","0.81005","23.39484"
"69.10000","0.81017","23.61926"
"69.20000","0.81031","23.44501"
"69.30000","0.81044","23.75391"
"69.40000","0.81056","23.88328"
"69.50000","0.81070","24.04786"
"69.60000","0.81083","23.86392"
"69.70000","0.81096","23.56382"
"69.80000","0.81108","23.51013"
"69.90000","0.81121","23.66415"
"70.00000","0.81134","23.99857"
"70.10000","0.81147","23.68175"
"70.20000","0.81161","23.76975"
"70.30000","0.81173","23.86480"
"70.40000","0.81188","23.84368"
"70.50000","0.81201","23.70199"
"70.60000","0.81213","23.59462"
"70.70000","0.81228","23.77415"
"70.80000","0.81240","23.97481"
"70.90000","0.81253","24.03289"
"71.00000","0.81266","23.77503"
"71.10000","0.81280","24.08922"
"71.20000","0.81292","24.09714"
"71.30000","0.81305","23.95193"
"71.40000","0.81319","23.74159"
"71.50000","0.81331","24.04081"
"71.60000","0.81345","23.81288"
"71.70000","0.81356","23.58318"
"71.80000","0.81369","23.62718"
"71.90000","0.81384","24.04786"
"72.00000","0.81396","23.94753"
"72.10000","0.81410","24.10858"
"72.20000","0.81423","24.08130"
"72.30000","0.81437","23.99417"
"72.40000","0.81449","24.29868"
"72.50000","0.81464","24.14467"
"72.60000","0.81476","23.90176"
"72.70000","0.81489","23.95809"
"72.80000","0.81503","23.92113"
"72.90000","0.81516","23.99505"
"73.00000","0.81529","24.06282"
"73.10000","0.81541","23.93169"
"73.20000","0.81553","24.31100"
"73.30000","0.81567","24.12530"
"73.40000","0.81580","24.13674"
"73.50000","0.81594","24.15347"
"73.60000","0.81607","24.28900"
"73.70000","0.81621","24.30660"
"73.80000","0.81633","24.43069"
"73.90000","0.81646","24.38228"
"74.00000","0.81660","24.40869"
"74.10000","0.81672","24.09186"
"74.20000","0.81687","24.15435"
"74.30000","0.81700","24.19395"
"74.40000","0.81713","24.27052"
"74.50000","0.81726","24.42981"
"74.60000","0.81738","24.41573"
"74.70000","0.81751","24.66831"
"74.80000","0.81765","24.17547"
"74.90000","0.81778","24.62078"
"75.00000","0.81790","24.16051"
"75.10000","0.81803","24.73607"
"75.20000","0.81817","24.50462"
"75.30000","0.81830","24.57854"
"75.40000","0.81844","24.59790"
"75.50000","0.81856","24.52926"
"75.60000","0.81870","24.12178"
"75.70000","0.81883","24.39460"
"75.80000","0.81897","24.36116"
"75.90000","0.81910","24.58734"
"76.00000","0.81922","24.45621"
"76.10000","0.81936","24.46149"
"76.20000","0.81949","24.85840"
"76.30000","0.81963","24.54510"
"76.40000","0.81975","25.14267"
"76.50000","0.81987","24.60934"
"76.60000","0.82001","24.70527"
"76.70000","0.82014","24.64983"
"76.80000","0.82028","24.64454"
"76.90000","0.82040","24.92353"
"77.00000","0.82054","24.91913"
"77.10000","0.82067","25.02122"
"77.20000","0.82080","25.08194"
"77.30000","0.82093","24.17635"
"77.40000","0.82107","24.76600"
"77.50000","0.82120","24.89449"
"77.60000","0.82132","24.87512"
"77.70000","0.82147","24.78624"
"77.80000","0.82159","25.03882"
"77.90000","0.82171","25.18491"
"78.00000","0.82185","24.80384"
"78.10000","0.82197","24.87688"
"78.20000","0.82209","24.35148"
"78.30000","0.82223","24.91033"
"78.40000","0.82235","24.76424"
"78.50000","0.82249","25.13474"
"78.60000","0.82263","24.97809"
"78.70000","0.82276","24.96049"
"78.80000","0.82289","24.89713"
"78.90000","0.82303","25.12771"
"79.00000","0.82316","25.05026"
"79.10000","0.82329","24.95609"
